id;name;year;type;genres;episodes;rating;source;status
1566; Ghost_in_the_Shell__Stand_Alone_Complex_-_Solid_State_Society; 2006; Special; mecha; 1; 8.21; Manga; FinishedAiring
2002; Heroic_Age; 2007; TV; mecha; 2; 7.65; Original; FinishedAiring
31; Neon_Genesis_Evangelion__Death___Rebirth;; Movie; mecha; 1; 7.50; Original; FinishedAiring
32; Neon_Genesis_Evangelion__The_End_of_Evangelion; 1997; Movie; mecha; 1; 8.45; Original; FinishedAiring
4107; Tengen_Toppa_Gurren_Lagann_Movie__Gurren-hen; 2008; Movie; mecha; 1; 8.22; Original; FinishedAiring
4565; Tengen_Toppa_Gurren_Lagann_Movie__Lagann-hen; 2009; Movie; mecha; 1; 8.63; Original; FinishedAiring
30; Neon_Genesis_Evangelion; 1996; TV; mecha; 2; 8.31; Original; FinishedAiring
6772; Break_Blade_1__Kakusei_no_Toki; 2010; Movie; mecha; 1; 7.77; Manga; FinishedAiring
467; Ghost_in_the_Shell__Stand_Alone_Complex; 2003; TV;; 2; 8.47; Manga; FinishedAiring
19163; Date_A_Live_II; 2014; TV; mecha; 2; 7.48; Lightnovel; FinishedAiring
3572; Macross_F; 2008; TV; mecha, music; 2; 8.01; Original; FinishedAiring
30806; Schwarzesmarken; 2016; TV; mecha, historical; 2; 6.97; Lightnovel; FinishedAiring
3785; Evangelion__30_You_Can_Not_Redo; 2012; Movie; mecha; 1; 7.68; Original; FinishedAiring
27829; Heavy_Object; 2016; TV; mecha; 2; 7.40; Lightnovel; FinishedAiring
2759; Evangelion__10_You_Are_Not_Alone; 2007; Movie; mecha; 1; 8.19; Original; FinishedAiring
2581; Mobile_Suit_Gundam_00; 2008;; mecha; 2; 8.23; Original; FinishedAiring
5342; Asura_Cryin; 2009; TV; mecha; 2; 7.07; Lightnovel; FinishedAiring
16668; Kakumeiki_Valvrave; 2013; TV; mecha; 2; 7.29; Original; FinishedAiring
9041; IS__Infinite_Stratos; 2011; TV; mecha; 2; 7.08; Lightnovel; FinishedAiring
94; Mobile_Suit_Gundam_Seed_Destiny; 2005; TV; mecha; 3; 7.34; Original; FinishedAiring
93; Mobile_Suit_Gundam_Seed; 2003; TV; mecha; 3; 7.91; Original; FinishedAiring
8934; Star_Driver__Kagayaki_no_Takuto; 2011; TV; mecha; 2; 7.35; Original; FinishedAiring
90; Mobile_Suit_Gundam_Wing; 1996; TV; mecha; 3; 7.85; Original; FinishedAiring
182; Tenkuu_no_Escaflowne; 1996; TV; mecha; 2; 7.78; Original; FinishedAiring
166; Samurai_7; 2004; TV; mecha, historical; 2; 7.59; Other; FinishedAiring
31318; Comet_Lucifer; 2015; TV; mecha; 2; 5.97; Original; FinishedAiring
2904; Code_Geass__Hangyaku_no_Lelouch_R2; 2008; TV; mecha; 2; 8.96; Original; FinishedAiring
98; Mai-HiME; 2005; TV; mecha; 2; 7.58; Original; FinishedAiring
30749; Saijaku_Muhai_no_Bahamut; 2016; TV; mecha; 2; 6.87;; FinishedAiring
21177; Nobunaga_the_Fool; 2014; TV; mecha, historical; 2; 6.80; Other; FinishedAiring
6676; Asura_Cryin_2; 2009; TV; mecha; 2; 7.44; Lightnovel; FinishedAiring
9465; Break_Blade_4__Sanka_no_Chi; 2010; Movie; mecha; 1; 7.97; Manga; FinishedAiring
15199; Code_Geass__Boukoku_no_Akito_3_-_Kagayaku_Mono_Ten_yori_Otsu; 2015; Movie; mecha; 1; 7.54; Original; FinishedAiring
3653; Kurogane_no_Linebarrels; 2009; TV; mecha; 2; 7.07; Manga; FinishedAiring
20045; IS__Infinite_Stratos_2_-_Hitonatsu_no_Omoide; 2013; OVA; mecha; 1; 7.06; Lightnovel; FinishedAiring
1088; Macross; 1983; TV; mecha, music; 3; 8.05; Original; FinishedAiring
33051; Mobile_Suit_Gundam__Iron-Blooded_Orphans_2nd_Season; 2017; TV; mecha; 2; 8.27; Original; FinishedAiring
80; Mobile_Suit_Gundam; 1980; TV; mecha; 3; 7.88; Original; FinishedAiring
435; Magic_Knight_Rayearth; 1995; TV; mecha; 2; 7.53; Manga; FinishedAiring
21677; Captain_Earth; 2014; TV; mecha; 2; 6.49; Original; FinishedAiring
218; Kidou_Senkan_Nadesico; 1997; TV; mecha; 2; 7.60; Original; FinishedAiring
34437; Code_Geass__Fukkatsu_no_Lelouch; available;; mecha; 0; N/A; Original; Notyetaired
15201; Code_Geass__Boukoku_no_Akito_4_-_Nikushimi_no_Kioku_Kara; 2015; Movie; mecha; 1; 7.48; Original; FinishedAiring
109; Bakuretsu_Tenshi; 2004; TV; mecha; 2; 6.92; Original; FinishedAiring
143; Kannazuki_no_Miko; 2004; TV; mecha; 2; 7.03; Manga; FinishedAiring
15879; Chuunibyou_demo_Koi_ga_Shitai__Depth_of_Field_-_Ai_to_Nikushimi_Gekijou; 2013; Special; mecha; 2; 6.78; Lightnovel; FinishedAiring
58; Blue_Gender; 2000; TV; mecha; 2; 7.12; Original; FinishedAiring
949; Top_wo_Nerae_Gunbuster; 1989; OVA; mecha; 2; 7.95; Original; FinishedAiring
34104; Knights___Magic; 2017; TV; mecha; 0; 7.38; Lightnovel; CurrentlyAiring
393; Escaflowne; 2000; Movie; mecha; 1; 7.18; Original; FinishedAiring
10092; Break_Blade_6__Doukoku_no_Toride; 2011; Movie; mecha; 1; 7.80; Manga; FinishedAiring
23325; Shirogane_no_Ishi__Argevollen; 2014; TV; mecha; 2; 6.55; Original; FinishedAiring
1051; Ao_no_6-gou; 2000; OVA; mecha; 2; 7.16; Manga; FinishedAiring
478; Sousei_no_Aquarion; 2005; TV; mecha; 2; 7.19; Original; FinishedAiring
30711; Code_Geass__Boukoku_no_Akito_Final_-_Itoshiki_Monotachi_e; 2016;; mecha; 1; 7.26; Original; FinishedAiring
32245; Kuromukuro; 2016; TV; mecha; 2; 7.37; Original; FinishedAiring
6336; Mobile_Suit_Gundam_Unicorn; 2014; OVA; mecha; 2; 8.35; Novel; FinishedAiring
85; Mobile_Suit_Zeta_Gundam; 1986; TV; mecha; 3; 8.01; Original; FinishedAiring
4618; RideBack;; TV; mecha; 2; 7.37; Manga; FinishedAiring
181; Vandread__The_Second_Stage; 2002; TV; mecha; 2; 7.52; Original; FinishedAiring
10622; Tengen_Toppa_Gurren_Lagann__Ore_no_Gurren_wa_Pikka-Pika; 2007; OVA; mecha; 1; 6.92; Original; FinishedAiring
763; Zoids; 2000; TV; mecha; 3; 7.47; Unknown; FinishedAiring
1072; Sweat_Punch; 2006; OVA; mecha, historical; 2; 7.59; Unknown; FinishedAiring
1133; Tenchi_Muyou_GXP; 2002; TV; mecha; 2; 7.24; Original; FinishedAiring
3352; Tengen_Toppa_Gurren_Lagann__Mitee_Mono_wa_Miteen_da; 2008; Special; mecha; 1; 7.47; Original; FinishedAiring
19191; Ghost_in_the_Shell__Arise_-_Border_2_Ghost_Whispers; 2013; Movie; mecha; 1; 7.67; Manga; FinishedAiring
6291; Full_Metal_Panic_The_Second_Raid_Episode_000; 2005; Special; mecha; 1; 7.54; Lightnovel; FinishedAiring
29325; Ghost_in_the_Shell__Arise_-_Alternative_Architecture; 2015; TV; mecha; 2; 7.34; Manga; FinishedAiring
194; Macross_Zero; 2004; OVA; mecha; 2; 7.67; Unknown; FinishedAiring
2124; Code_Geass__Hangyaku_no_Lelouch_Recaps; 2007; Special; mecha; 2; 7.10; Original; FinishedAiring
1710; RockmanEXE; 2003; TV; mecha; 3; 7.04; Unknown; FinishedAiring
2449; Ghost_in_the_Shell__Stand_Alone_Complex_-_The_Laughing_Man; 2005; Special; mecha; 1; 8.17; Unknown; FinishedAiring
23319; Suisei_no_Gargantia__Meguru_Kouro_Haruka; 2015; OVA; mecha; 2; 7.45; Original; FinishedAiring
1016; Gunnm; 1993; OVA; mecha; 2; 7.25; Manga; FinishedAiring
19193; Ghost_in_the_Shell__Arise_-_Border_3_Ghost_Tears; 2014; Movie; mecha; 1; 7.50; Manga; FinishedAiring
474; Macross_Plus; 1995; OVA; mecha; 2; 7.81; Original; FinishedAiring
27411; Ghost_in_the_Shell_2015; 2015; Movie; mecha; 1; 7.63; Manga; FinishedAiring
24625; Gundam_Build_Fighters_Try; 2015; TV; mecha; 2; 7.50; Original; FinishedAiring
14237; Busou_Shinki; 2012; TV; mecha; 2; 6.39; Other; FinishedAiring
95; Turn_A_Gundam; 2000; TV; mecha; 3; 7.76; Unknown; FinishedAiring
3508; Genius_Party; 2007; Movie; mecha, music; 2; 7.36; Original; FinishedAiring
593; Mugen_no_Ryvius; 2000; TV; mecha; 2; 7.58;; FinishedAiring
1089; Macross__Do_You_Remember_Love; 1984; Movie; mecha, music; 1; 8.07; Original; FinishedAiring
1212; Oban_Star-Racers; 2006; TV; mecha; 2; 7.52; Original; FinishedAiring
878; Zegapain; 2006; TV; mecha; 2; 7.45; Original; FinishedAiring
1230; Innocent_Venus; 2006; TV; mecha; 2; 6.93; Original; FinishedAiring
28149; Nihon_Animator_Mihonichi; 2015; ONA; mecha, music; 3; 7.52; Original; FinishedAiring
31973; Mobile_Suit_Gundam_Thunderbolt; 2016; ONA; mecha; 2; 7.98; Manga; FinishedAiring
568; Bubblegum_Crisis_Tokyo_2040; 1999; TV; mecha; 2; 7.19; Original; FinishedAiring
10808; Mobile_Suit_Gundam_AGE; 2012; TV; mecha; 3; 6.59; Unknown; FinishedAiring
573; Saber_Marionette_J; 1997; TV; mecha; 2; 7.44; Original; FinishedAiring
324; Mobile_Police_Patlabor__On_Television; 1990; TV; mecha; 3; 7.71; Original; FinishedAiring
1694; iDOLMSTER_Xenoglossia; 2007; TV; mecha; 2; 6.65; Original; FinishedAiring
2604; Sky_Girls; 2007; TV; mecha; 2; 7.11; Unknown; FinishedAiring
1678; Cyborg_009__The_Cyborg_Soldier; 2003; TV; mecha; 3; 7.36; Manga; FinishedAiring
554; Koutetsu_Tenshi_Kurumi; 2000; TV; mecha, historical; 2; 6.91; Original; FinishedAiring
33371; Atom__The_Beginning; 2017; TV; mecha; 2; 7.03; Manga; FinishedAiring
21821; Fuuun_Ishin_Dai☆Shogun; 2014; TV; mecha, historical; 2; 5.81; Original; FinishedAiring
2448; Ghost_in_the_Shell__Stand_Alone_Complex_2nd_GIG_-_Individual_Eleven; 2006;; mecha; 1; 8.10; Unknown; FinishedAiring
937; Appleseed; 1988; OVA; mecha; 1; 6.77; Manga; FinishedAiring
