id;name;year;type;genres;episodes;rating;source;status
1566; Ghost_in_the_Shell__Stand_Alone_Complex_-_Solid_State_Society; 2006; Special; 0; 1; 8.21; Manga; 1
2002; Heroic_Age; 2007; TV; 0; 2; 7.65; Original; 1
31; Neon_Genesis_Evangelion__Death___Rebirth; 1997; Movie; 0; 1; 7.50; Original; 1
32; Neon_Genesis_Evangelion__The_End_of_Evangelion; 1997; Movie; 0; 1; 8.45; Original; 1
4107; Tengen_Toppa_Gurren_Lagann_Movie__Gurren-hen; 2008; Movie; 0; 1; 8.22; Original; 1
4565; Tengen_Toppa_Gurren_Lagann_Movie__Lagann-hen; 2009; Movie; 0; 1; 8.63; Original; 1
30; Neon_Genesis_Evangelion; 1996; TV; 0; 2; 8.31; Original; 1
6772; Break_Blade_1__Kakusei_no_Toki; 2010; Movie; 0; 1; 7.77; Manga; 1
467; Ghost_in_the_Shell__Stand_Alone_Complex; 2003; TV; 0; 2; 8.47; Manga; 1
19163; Date_A_Live_II; 2014; TV; 0; 2; 7.48; Lightnovel; 1
3572; Macross_F; 2008; TV; 0; 2; 8.01; Original; 1
30806; Schwarzesmarken; 2016; TV; 0; 2; 6.97; Lightnovel; 1
3785; Evangelion__30_You_Can_Not_Redo; 2012; Movie; 0; 1; 7.68; Original; 1
27829; Heavy_Object; 2016; TV; 0; 2; 7.40; Lightnovel; 1
2759; Evangelion__10_You_Are_Not_Alone; 2007; Movie; 0; 1; 8.19; Original; 1
2581; Mobile_Suit_Gundam_00; 2008; TV; 0; 2; 8.23; Original; 1
5342; Asura_Cryin; 2009; TV; 0; 2; 7.07; Lightnovel; 1
16668; Kakumeiki_Valvrave; 2013; TV; 0; 2; 7.29; Original; 1
9041; IS__Infinite_Stratos; 2011; TV; 0; 2; 7.08; Lightnovel; 1
94; Mobile_Suit_Gundam_Seed_Destiny; 2005; TV; 0; 3; 7.34; Original; 1
93; Mobile_Suit_Gundam_Seed; 2003; TV; 0; 3; 7.91; Original; 1
8934; Star_Driver__Kagayaki_no_Takuto; 2011; TV; 0; 2; 7.35; Original; 1
90; Mobile_Suit_Gundam_Wing; 1996; TV; 0; 3; 7.85; Original; 1
182; Tenkuu_no_Escaflowne; 1996; TV; 0; 2; 7.78; Original; 1
166; Samurai_7; 2004; TV; 0; 2; 7.59; Other; 1
31318; Comet_Lucifer; 2015; TV; 0; 2; 5.97; Original; 1
2904; Code_Geass__Hangyaku_no_Lelouch_R2; 2008; TV; 0; 2; 8.96; Original; 1
98; Mai-HiME; 2005; TV; 0; 2; 7.58; Original; 1
30749; Saijaku_Muhai_no_Bahamut; 2016; TV; 0; 2; 6.87; Lightnovel; 1
21177; Nobunaga_the_Fool; 2014; TV; 0; 2; 6.80; Other; 1
6676; Asura_Cryin_2; 2009; TV; 0; 2; 7.44; Lightnovel; 1
9465; Break_Blade_4__Sanka_no_Chi; 2010; Movie; 0; 1; 7.97; Manga; 1
15199; Code_Geass__Boukoku_no_Akito_3_-_Kagayaku_Mono_Ten_yori_Otsu; 2015; Movie; 0; 1; 7.54; Original; 1
3653; Kurogane_no_Linebarrels; 2009; TV; 0; 2; 7.07; Manga; 1
20045; IS__Infinite_Stratos_2_-_Hitonatsu_no_Omoide; 2013; OVA; 0; 1; 7.06; Lightnovel; 1
1088; Macross; 1983; TV; 0; 3; 8.05; Original; 1
33051; Mobile_Suit_Gundam__Iron-Blooded_Orphans_2nd_Season; 2017; TV; 0; 2; 8.27; Original; 1
80; Mobile_Suit_Gundam; 1980; TV; 0; 3; 7.88; Original; 1
435; Magic_Knight_Rayearth; 1995; TV; 0; 2; 7.53; Manga; 1
21677; Captain_Earth; 2014; TV; 0; 2; 6.49; Original; 1
218; Kidou_Senkan_Nadesico; 1997; TV; 0; 2; 7.60; Original; 1
34437; Code_Geass__Fukkatsu_no_Lelouch; 2017; ; 0; 0; -1; Original; 0
15201; Code_Geass__Boukoku_no_Akito_4_-_Nikushimi_no_Kioku_Kara; 2015; Movie; 0; 1; 7.48; Original; 1
109; Bakuretsu_Tenshi; 2004; TV; 0; 2; 6.92; Original; 1
143; Kannazuki_no_Miko; 2004; TV; 0; 2; 7.03; Manga; 1
15879; Chuunibyou_demo_Koi_ga_Shitai__Depth_of_Field_-_Ai_to_Nikushimi_Gekijou; 2013; Special; 0; 2; 6.78; Lightnovel; 1
58; Blue_Gender; 2000; TV; 0; 2; 7.12; Original; 1
949; Top_wo_Nerae_Gunbuster; 1989; OVA; 0; 2; 7.95; Original; 1
34104; Knights___Magic; 2017; TV; 0; 0; 7.38; Lightnovel; 2
393; Escaflowne; 2000; Movie; 0; 1; 7.18; Original; 1
10092; Break_Blade_6__Doukoku_no_Toride; 2011; Movie; 0; 1; 7.80; Manga; 1
23325; Shirogane_no_Ishi__Argevollen; 2014; TV; 0; 2; 6.55; Original; 1
1051; Ao_no_6-gou; 2000; OVA; 0; 2; 7.16; Manga; 1
478; Sousei_no_Aquarion; 2005; TV; 0; 2; 7.19; Original; 1
30711; Code_Geass__Boukoku_no_Akito_Final_-_Itoshiki_Monotachi_e; 2016; Movie; 0; 1; 7.26; Original; 1
32245; Kuromukuro; 2016; TV; 0; 2; 7.37; Original; 1
6336; Mobile_Suit_Gundam_Unicorn; 2014; OVA; 0; 2; 8.35; Novel; 1
85; Mobile_Suit_Zeta_Gundam; 1986; TV; 0; 3; 8.01; Original; 1
4618; RideBack; 2009; TV; 0; 2; 7.37; Manga; 1
181; Vandread__The_Second_Stage; 2002; TV; 0; 2; 7.52; Original; 1
10622; Tengen_Toppa_Gurren_Lagann__Ore_no_Gurren_wa_Pikka-Pika; 2007; OVA; 0; 1; 6.92; Original; 1
763; Zoids; 2000; TV; 0; 3; 7.47; Unknown; 1
