a_ID,CEP,ano_ingresso,periodo_ingresso,status,ano_disciplina,periodo_disciplina,nota,disciplina_ID,status_disciplina,enem_redacao,enem_nota
0,59015430,2014,1,CANCELADO,2014,2,2.6,0,Reprovado,640,618
0,59015430,2014,1,CANCELADO,2015,1,8,0,Aprovado,640,618
1,59073120,2014,1,CANCELADO,2014,2,0.1,0,Reprovado,660,615
2,59072580,2014,1,ATIVO,2014,2,6.1,0,Aprovado,560,600
3,59088150,2014,1,ATIVO,2014,1,3,0,Reprovado,760,673
3,59088150,2014,1,ATIVO,2014,2,7.2,0,Aprovado,760,673
4,59064245,2014,1,CANCELADO,2014,2,2.1,0,Reprovado,700,642
4,59064245,2014,1,CANCELADO,2015,1,2.3,0,Reprovado,700,642
5,59112430,2014,1,ATIVO,2014,2,8.9,0,Aprovado,520,581
6,59152780,2014,1,CANCELADO,2014,2,2.4,0,Reprovado,640,660
6,59152780,2014,1,CANCELADO,2015,1,1.2,0,Reprovado,640,660
6,59152780,2014,1,CANCELADO,2015,2,6,0,Aprovado,640,660
7,59020330,2014,1,ATIVO,2014,2,5.6,0,Aprovado,720,647
8,59151610,2014,1,ATIVO,2014,2,1.5,0,Reprovado,800,621
8,59151610,2014,1,ATIVO,2015,1,6.9,0,Aprovado,800,621
9,59145510,2014,1,CANCELADO,2014,2,0.8,0,Reprovado,700,663
9,59145510,2014,1,CANCELADO,2015,1,0.6,0,Reprovado,700,663
9,59145510,2014,1,CANCELADO,2015,2,4.3,0,Reprovado,700,663
10,59075260,2014,1,CANCELADO,2014,2,5.1,0,Aprovado,760,698
10,59075260,2014,1,CANCELADO,2015,1,3,0,Reprovado,760,698
11,59086620,2014,1,CANCELADO,2014,2,0,0,Reprovado,720,621
12,59547000,2014,1,ATIVO,2014,2,2.6,0,Reprovado,520,634
12,59547000,2014,1,ATIVO,2015,1,5.9,0,Aprovado,520,634
13,59082180,2014,1,CANCELADO,2014,2,1.6,0,Reprovado,820,667
13,59082180,2014,1,CANCELADO,2015,1,7.3,0,Aprovado,820,667
14,59150500,2014,1,ATIVO,2014,2,1.2,0,Reprovado,680,630
14,59150500,2014,1,ATIVO,2015,1,4.3,0,Reprovado,680,630
14,59150500,2014,1,ATIVO,2015,2,7.7,0,Aprovado,680,630
15,59151800,2014,1,ATIVO,2014,2,8.5,0,Aprovado,740,662
16,59810000,2014,1,ATIVO,2014,2,9.8,0,Aprovado,640,613
17,59115190,2014,1,TRANCADO,2014,2,2,0,Reprovado,580,634
17,59115190,2014,1,TRANCADO,2015,2,1.8,0,Reprovado,580,634
17,59115190,2014,1,TRANCADO,2016,1,5,0,Aprovado,580,634
17,59115190,2014,1,TRANCADO,2016,2,8.1,0,Aprovado,580,634
18,59050350,2014,1,CANCELADO,2014,2,3.1,0,Reprovado,740,662
19,59086300,2014,1,CANCELADO,2015,2,0,0,Reprovado,540,695
20,59090620,2014,1,ATIVO,2014,2,6.4,0,Aprovado,640,616
21,59324000,2014,1,ATIVO,2014,2,7.5,0,Aprovado,800,689
22,59054550,2014,1,CANCELADO,2014,2,3.4,0,Reprovado,600,662
23,59070750,2014,2,ATIVO,2015,1,8.9,0,Aprovado,520,553
24,59280000,2014,1,CANCELADO,2015,1,7.6,0,Aprovado,520,610
25,59115685,2014,1,ATIVO,2016,1,7.3,0,Aprovado,780,695
26,59290000,2014,1,ATIVO,2014,2,1.1,0,Reprovado,780,617
26,59290000,2014,1,ATIVO,2015,1,0.3,0,Reprovado,780,617
26,59290000,2014,1,ATIVO,2015,2,6.6,0,Aprovado,780,617
27,59040240,2014,1,ATIVO,2014,1,5.9,0,Aprovado,780,733
28,59149356,2014,1,CANCELADO,2014,2,0,0,Reprovado,600,552
29,59063280,2014,1,CANCELADO,2015,1,1.9,0,Reprovado,680,649
29,59063280,2014,1,CANCELADO,2015,2,0,0,Reprovado,680,649
30,59094300,2014,1,ATIVO,2014,2,6.8,0,Aprovado,560,658
31,59020400,2014,1,ATIVO,2014,2,8.4,0,Aprovado,600,630
32,59106114,2014,1,CANCELADO,2015,1,1.3,0,Reprovado,640,617
33,59122495,2014,1,ATIVO,2014,2,7.5,0,Aprovado,720,669
34,51011480,2014,1,ATIVO,2014,2,0.2,0,Reprovado,720,620
34,51011480,2014,1,ATIVO,2015,1,5.3,0,Aprovado,720,620
35,59068310,2014,1,CANCELADO,2014,2,0.5,0,Reprovado,560,630
35,59068310,2014,1,CANCELADO,2015,1,5.5,0,Aprovado,560,630
